table,category,row_count,column_count,code_like_columns
trntrackcreditamts,billing,0,33,
trntrackcreditamts_new,billing,3090,13,"ID, ORGCODE, LOCATIONID, UserID, EditUserID, TerminalID, EditTerminalID"
mstccrefdoctor,doctors,0,20,
mstdoctor,doctors,0,33,
mstdoctornew,doctors,0,32,
mstdoctorslab,doctors,0,6,
mstmapauthdoc,doctors,0,10,
mstmapsubauthdoc,doctors,0,10,
mstrefdocclinicinfo,doctors,0,9,
mstrefdoctor,doctors,43963,34,"DOCID, DOCNAME, SPELIZID, AREACODE, CITYCODE, DISTRICTCODE, STATECODE, COUNTRYCODE, CREATEUSERID, EDITUSERID, TERMINALID, EDITTERMINALID, LOCATIONID, OLDDOCID, GROUPID, BankName, IFSCCODE, BenficiaryName, MailID"
mstrefdoctornew,doctors,0,21,
mstreferalcontacts,doctors,0,7,
mstreferralgroup,doctors,107,13,"ID, GROUPID, GROUPNAME, TERMINALID, LOCATIONID, EDITTERMINALID"
mstschedule,doctors,0,13,
mstspecialization,doctors,50,10,"SPECIALIZATIONID, SPECIALIZATIONNAME, CREATEUSERID, EDITUSERID, TERMINALID, EDITTERMINALID, LOCATIONID"
msttimings,doctors,0,5,
tbltimings,doctors,0,4,
trndoctorweeklyoffs,doctors,0,3,
trnmergeddoctors,doctors,1272,8,"ID, DOCID, MERGEDOCID, MERGEDDOCNAME, LOCATIONID, CREATEUSERID, TERMINALID"
ecomratevsaipl,inventory,0,6,
kompprice,inventory,1443,3,"INVCODE, INVNAME"
konnectstock,inventory,262,8,"Itemid, Itemname, LOCATIONID"
leela,inventory,0,4,
